"","race","age","prior_offense","is_recid"
"4373","Caucasian",42,0,0
"2617","African-American",42,1,0
"1458","Caucasian",51,1,0
"4691","Caucasian",22,1,1
"3366","Caucasian",28,0,1
"2897","Caucasian",25,1,1
"2532","African-American",47,0,0
"2389","African-American",25,0,1
"3477","Caucasian",21,1,1
"1320","Caucasian",43,1,0
"2172","Caucasian",22,0,1
"85","African-American",55,1,0
"242","Caucasian",24,1,1
"3661","Caucasian",27,1,0
"4210","Caucasian",53,1,0
"4887","Caucasian",43,1,0
"2810","African-American",33,1,0
"3233","Caucasian",20,0,1
"3850","African-American",30,1,0
"3754","Caucasian",32,1,1
"3244","African-American",31,0,0
"3295","African-American",22,1,1
"445","Caucasian",26,1,0
"2550","African-American",47,0,0
"2585","African-American",29,0,1
"4008","African-American",26,1,1
"2022","African-American",50,0,0
"4718","African-American",26,1,1
"3383","African-American",47,1,0
"102","African-American",20,1,1
"4993","Caucasian",22,1,1
"4855","Caucasian",55,1,0
"920","African-American",23,0,1
"3997","Caucasian",41,1,0
"1844","African-American",25,1,1
"3407","Caucasian",31,1,1
"4570","Caucasian",29,0,0
"2044","African-American",28,1,1
"3992","Caucasian",32,1,1
"4252","African-American",30,1,1
"4020","Caucasian",40,1,0
"4022","Caucasian",52,0,0
"2713","African-American",23,1,1
"906","Caucasian",55,1,0
"2678","Caucasian",34,1,1
"1504","African-American",28,1,0
"4029","African-American",37,1,1
"572","African-American",29,0,0
"1746","Caucasian",63,1,0
"1836","Caucasian",35,1,1
"2413","African-American",55,0,0
"4588","African-American",24,1,0
"4527","African-American",23,1,1
"3964","Caucasian",30,1,1
"4400","African-American",46,0,0
"2733","African-American",34,1,0
"1773","Caucasian",22,1,1
"4483","African-American",53,1,0
"3534","African-American",22,0,1
"1218","Caucasian",49,1,0
"3430","African-American",31,0,0
"2547","African-American",28,1,1
"1840","Caucasian",38,1,0
"2641","African-American",34,1,1
"3279","Caucasian",26,1,1
"4541","Caucasian",23,0,1
"1795","Caucasian",54,1,0
"2969","Caucasian",25,0,1
"2798","Caucasian",27,1,0
"3159","African-American",23,1,0
"4259","Caucasian",26,0,0
"3978","African-American",42,1,0
"2750","Caucasian",22,0,0
"899","African-American",32,1,1
"3489","African-American",39,1,1
"2023","Caucasian",31,1,0
"4211","African-American",61,1,0
"2938","Caucasian",26,0,1
"1820","Caucasian",29,1,1
"2764","African-American",20,0,1
"4469","African-American",27,0,0
"4309","Caucasian",27,1,1
"4909","African-American",30,1,0
"12","African-American",48,0,0
"882","Caucasian",35,1,0
"38","African-American",23,1,1
"2328","Caucasian",38,1,0
